,Year,NamedStorms,Hurricanes,MajorHurricanes,ACE
0,1851,6,3,1,36
1,1852,5,5,1,73
2,1853,8,4,2,76
3,1854,5,3,1,31
4,1855,5,4,1,18
5,1856,6,4,2,49
6,1857,4,3,0,40
7,1858,6,6,0,45
8,1859,8,7,1,56
9,1860,7,6,1,62
10,1861,8,6,0,50
11,1862,6,3,0,46
12,1863,9,5,0,50
13,1864,5,3,0,27
14,1865,7,3,0,49
15,1866,7,6,1,84
16,1867,9,7,1,60
17,1868,4,3,0,35
18,1869,10,7,1,51
19,1870,11,10,2,88
20,1871,8,6,2,88
21,1872,5,4,0,65
22,1873,5,3,2,69
23,1874,7,4,0,47
24,1875,6,5,1,72
25,1876,5,4,2,57
26,1877,8,3,1,73
27,1878,12,10,2,181
28,1879,8,6,2,64
29,1880,11,9,2,131
30,1881,7,4,0,59
31,1882,6,4,2,59
32,1883,4,3,2,67
33,1884,4,4,1,72
34,1885,8,6,0,58
35,1886,12,10,4,166
36,1887,19,11,2,181
37,1888,9,6,2,85
38,1889,9,6,0,104
39,1890,4,2,1,33
40,1891,10,7,1,116
41,1892,9,5,0,116
42,1893,12,10,5,231
43,1894,7,5,4,135
44,1895,6,2,0,69
45,1896,7,6,2,136
46,1897,6,3,0,55
47,1898,11,5,1,113
48,1899,10,5,2,151
49,1900,7,3,2,83
50,1901,13,6,0,99
51,1902,5,3,0,33
52,1903,10,7,1,102
53,1904,6,4,0,30
54,1905,5,1,1,28
55,1906,11,6,3,163
56,1907,5,0,0,13
57,1908,10,6,1,95
58,1909,12,6,4,93
59,1910,5,3,1,64
60,1911,6,3,0,35
61,1912,7,4,1,57
62,1913,6,4,0,36
63,1914,1,0,0,3
64,1915,6,5,3,130
65,1916,15,10,5,144
66,1917,4,2,2,61
67,1918,6,4,1,40
68,1919,5,2,1,55
69,1920,5,4,0,30
70,1921,7,5,2,87
71,1922,5,3,1,55
72,1923,9,4,1,49
73,1924,11,5,2,100
74,1925,4,1,0,7
75,1926,11,8,6,230
76,1927,8,4,1,56
77,1928,6,4,1,83
78,1929,5,3,1,48
79,1930,3,2,2,50
80,1931,13,3,1,48
81,1932,15,6,4,170
82,1933,20,11,6,259
83,1934,13,7,1,48
84,1935,8,5,3,106
85,1936,17,7,1,100
86,1937,11,4,1,66
87,1938,9,4,2,78
88,1939,6,3,1,34
89,1940,9,6,0,68
90,1941,6,4,3,52
91,1942,11,4,1,63
92,1943,10,5,2,94
93,1944,14,8,3,104
94,1945,11,5,2,63
95,1946,6,3,1,22
96,1947,9,5,2,112
97,1948,9,6,4,106
98,1949,13,7,3,98
99,1950,13,11,8,243
100,1951,10,8,5,137
101,1952,7,6,3,87
102,1953,14,6,4,104
103,1954,11,8,2,113
104,1955,12,9,6,199
105,1956,8,4,2,54
106,1957,8,3,2,84
107,1958,10,7,5,121
108,1959,11,7,2,77
109,1960,7,4,2,88
110,1961,11,8,7,205
111,1962,5,3,1,36
112,1963,9,7,2,118
113,1964,12,6,6,170
114,1965,6,4,1,84
115,1966,11,7,3,145
116,1967,8,6,1,122
117,1968,8,4,0,45
118,1969,18,12,5,166
119,1970,10,5,2,40
120,1971,13,6,1,97
121,1972,7,3,0,36
122,1973,8,4,1,48
123,1974,11,4,2,68
124,1975,9,6,3,76
125,1976,10,6,2,84
126,1977,6,5,1,25
127,1978,12,5,2,63
128,1979,9,5,2,93
129,1980,11,9,2,149
130,1981,12,7,3,100
131,1982,6,2,1,32
132,1983,4,3,1,17
133,1984,13,5,1,84
134,1985,11,7,3,88
135,1986,6,4,0,36
136,1987,7,3,1,34
137,1988,12,5,3,103
138,1989,11,7,2,135
139,1990,14,8,1,97
140,1991,8,4,2,36
141,1992,7,4,1,76
142,1993,8,4,1,39
143,1994,7,3,0,32
144,1995,19,11,5,228
145,1996,13,9,6,166
146,1997,8,3,1,41
147,1998,14,10,3,182
148,1999,12,8,5,177
149,2000,15,8,3,119
150,2001,15,9,4,110
151,2002,12,4,2,67
152,2003,16,7,3,176
153,2004,15,9,6,227
154,2005,28,15,7,250
155,2006,10,5,2,79
156,2007,15,6,2,74
157,2008,16,8,5,146
158,2009,9,3,2,53
159,2010,19,12,5,165
160,2011,19,7,4,126
161,2012,19,10,2,129
162,2013,14,2,0,36
163,2014,8,6,2,67
164,2015,11,4,2,63
